foreign_asset_id,foreign_asset_type,foreign_subtype,foreign_symbol,foreign_name_en,foreign_name_cn,foreign_exchange_code,foreign_exchange_name,foreign_country,foreign_currency,foreign_contract_unit,foreign_quote_unit,foreign_tick_size,underlying_group,sector,tradable,can_long,can_short,data_source,source_status,notes
REF_FASTMARKETS_LITHIUM,INDEX,REFERENCE_INDEX,LITHIUM,Fastmarkets Lithium Index,Fastmarkets锂指数,FASTMARKETS,Fastmarkets,GLOBAL,USD,CHECK,CHECK,CHECK,LITHIUM_CARBONATE,新能源,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_SILICON_METAL,INDEX,REFERENCE_INDEX,SI,Silicon Metal Europe US Index,欧美金属硅指数,GLOBAL,Global Reference,GLOBAL,USD,CHECK,CHECK,CHECK,INDUSTRIAL_SILICON,新能源,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_POLYSILICON,INDEX,REFERENCE_INDEX,PS,Polysilicon Price Index,多晶硅价格指数,GLOBAL,Global Reference,GLOBAL,USD,CHECK,CHECK,CHECK,POLYSILICON,新能源,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
ETF_US_ASHR,ETF,INDEX_ETF,ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,ASHR沪深300A股ETF,NYSEARCA,NYSE Arca,US,USD,CHECK,CHECK,CHECK,CSI300,股指,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
ETF_US_KBA,ETF,INDEX_ETF,KBA,KraneShares Bosera MSCI China A 50 Connect ETF,KBA中国A股ETF,NYSEARCA,NYSE Arca,US,USD,CHECK,CHECK,CHECK,CSI300,股指,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_SGX_CN,FUTURE,INDEX_FUTURE,CN,SGX FTSE China A50 Futures,SGX富时中国A50期货,SGX,Singapore Exchange,SG,USD,CHECK,CHECK,CHECK,CSI300,股指,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_SGX_CN_SSE50,FUTURE,INDEX_FUTURE,CN,SGX FTSE China A50 Futures,SGX富时中国A50期货,SGX,Singapore Exchange,SG,USD,CHECK,CHECK,CHECK,SSE50,股指,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
ETF_US_CHINA_LARGECAP,ETF,INDEX_ETF,FXI,China Large-Cap ETF,中国大盘ETF,NYSEARCA,NYSE Arca,US,USD,CHECK,CHECK,CHECK,SSE50,股指,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
ETF_US_CHINA_MIDCAP,ETF,INDEX_ETF,ASHR_MID,China Small Mid Cap ETF Reference,中国中小盘ETF参考,NYSEARCA,NYSE Arca,US,USD,CHECK,CHECK,CHECK,CSI500,股指,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
ETF_US_CHINA_SMALLCAP,ETF,INDEX_ETF,KURE,China Small Cap ETF Reference,中国小盘ETF参考,NYSEARCA,NYSE Arca,US,USD,CHECK,CHECK,CHECK,CSI1000,股指,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CME_ES,FUTURE,INDEX_FUTURE,ES,CME E-mini S&P 500,CME标普500期货,CME,CME,US,USD,CHECK,CHECK,CHECK,SPX,股指,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
ETF_US_SPY,ETF,INDEX_ETF,SPY,SPDR S&P 500 ETF,标普500ETF,NYSEARCA,NYSE Arca,US,USD,CHECK,CHECK,CHECK,SPX,股指,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CME_NQ,FUTURE,INDEX_FUTURE,NQ,CME E-mini Nasdaq 100,CME纳指100期货,CME,CME,US,USD,CHECK,CHECK,CHECK,NASDAQ,股指,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
ETF_US_QQQ,ETF,INDEX_ETF,QQQ,Invesco QQQ ETF,纳指100ETF,NASDAQ,NASDAQ,US,USD,CHECK,CHECK,CHECK,NASDAQ,股指,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CME_ZT,FUTURE,BOND_FUTURE,ZT,CME 2-Year T-Note,CME 2年美债期货,CME,CME,US,USD,CHECK,CHECK,CHECK,CGB_2Y,利率,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CME_ZF,FUTURE,BOND_FUTURE,ZF,CME 5-Year T-Note,CME 5年美债期货,CME,CME,US,USD,CHECK,CHECK,CHECK,CGB_5Y,利率,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CME_ZN,FUTURE,BOND_FUTURE,ZN,CME 10-Year T-Note,CME 10年美债期货,CME,CME,US,USD,CHECK,CHECK,CHECK,CGB_10Y,利率,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CME_ZB,FUTURE,BOND_FUTURE,ZB,CME 30-Year T-Bond,CME 30年美债期货,CME,CME,US,USD,CHECK,CHECK,CHECK,CGB_30Y,利率,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CME_CNH,FUTURE,FX_FUTURE,CNH,CME Chinese Renminbi Futures,CME人民币期货,CME,CME,US,USD,CHECK,CHECK,CHECK,USD_CNY,外汇,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CME_6E,FUTURE,FX_FUTURE,6E,CME Euro FX,CME欧元期货,CME,CME,US,USD,CHECK,CHECK,CHECK,EUR_USD,外汇,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CME_BTC,FUTURE,CRYPTO_FUTURE,BTC,CME Bitcoin Futures,CME比特币期货,CME,CME,US,USD,CHECK,CHECK,CHECK,BTC,加密货币,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CME_ETH,FUTURE,CRYPTO_FUTURE,ETH,CME Ether Futures,CME以太坊期货,CME,CME,US,USD,CHECK,CHECK,CHECK,ETH,加密货币,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
